dist,87Sr/86Sr
18670.152,0.706701
18669.104,0.707053
18668.056,0.707126
18667.008,0.707624
18665.96,0.707475
18664.912,0.707833
18663.864,0.707898
18662.816,0.707054
18661.768,0.707693
18660.72,0.707364
18659.672,0.706724
18658.624,0.706874
18657.576,0.706868
18656.528,0.705597
18655.48,0.705845
18654.432,0.707715
18653.384,0.706581
18652.336,0.707386
18651.288,0.707526
18650.24,0.706263
18649.192,0.707159
18648.144,0.706906
18647.096,0.706661
18646.048,0.707217
18645,0.706282
18643.952,0.708012
18642.904,0.708047
18641.856,0.706386
18640.808,0.707160
18639.76,0.707822
18638.712,0.708164
18637.664,0.708004
18636.616,0.706219
18635.568,0.707016
18634.52,0.707589
18633.472,0.707055
18632.424,0.705889
18631.376,0.707103
18630.328,0.706169
18629.28,0.706988
18628.232,0.707387
18627.184,0.706787
18626.136,0.707361
18625.088,0.706931
18624.04,0.707249
18622.992,0.706384
18621.944,0.706730
18620.896,0.707001
18619.848,0.707807
18618.8,0.706870
18617.752,0.707777
18616.704,0.708048
18615.656,0.705613
18614.608,0.707499
18613.56,0.706267
18612.512,0.706891
18611.464,0.707063
18610.416,0.706385
18609.368,0.706708
18608.32,0.707343
18607.272,0.706758
18606.224,0.707179
18605.176,0.705812
18604.128,0.706575
18603.08,0.706708
18602.032,0.707233
18600.984,0.706779
18599.936,0.707297
18598.888,0.707334
18597.84,0.706736
18596.792,0.707675
18595.744,0.708428
18594.696,0.706016
18593.648,0.707232
18592.6,0.706859
18591.552,0.706688
18590.504,0.708277
18589.456,0.706506
18588.408,0.707321
18587.36,0.707194
18586.312,0.706775
18585.264,0.707513
18584.216,0.707072
18583.168,0.706747
18582.12,0.706209
18581.072,0.706681
18580.024,0.707241
18578.976,0.707356
18577.928,0.706662
18576.88,0.707050
18575.832,0.707382
18574.784,0.707037
18573.736,0.707697
18572.688,0.706296
18571.64,0.707470
18570.592,0.706492
18569.544,0.705345
18568.496,0.707490
18567.448,0.707469
18566.4,0.707185
18565.352,0.707457
18564.304,0.706088
18563.256,0.706916
18562.208,0.707973
18561.16,0.706662
18560.112,0.706403
18559.064,0.706577
18558.016,0.707128
18556.968,0.707000
18555.92,0.707073
18554.872,0.708230
18553.824,0.705741
18552.776,0.707176
18551.728,0.708429
18550.68,0.706477
18549.632,0.706784
18548.584,0.707495
18547.536,0.706904
18546.488,0.706101
18545.44,0.706467
18544.392,0.706726
18543.344,0.707588
18542.296,0.706656
18541.248,0.705604
18540.2,0.707274
18539.152,0.707244
18538.104,0.706553
18537.056,0.706853
18536.008,0.706090
18534.96,0.706293
18533.912,0.706847
18532.864,0.707043
18531.816,0.706233
18530.768,0.705913
18529.72,0.707121
18528.672,0.707087
18527.624,0.706312
18526.576,0.707754
18525.528,0.706072
18524.48,0.706346
18523.432,0.705988
18522.384,0.706118
18521.336,0.707557
18520.288,0.706754
18519.24,0.706860
18518.192,0.707799
18517.144,0.707216
18516.096,0.706346
18515.048,0.705990
18514,0.706273
18512.952,0.706915
18511.904,0.706736
18510.856,0.706769
18509.808,0.707647
18508.76,0.707809
18507.712,0.708244
18506.664,0.708136
18505.616,0.706236
18504.568,0.706618
18503.52,0.707035
18502.472,0.706375
18501.424,0.705953
18500.376,0.706240
18499.328,0.707074
18498.28,0.707173
18497.232,0.707052
18496.184,0.706652
18495.136,0.705892
18494.088,0.706182
18493.04,0.708679
18491.992,0.707349
18490.944,0.707240
18489.896,0.706822
18488.848,0.706905
18487.8,0.706093
18486.752,0.706914
18485.704,0.706482
18484.656,0.706546
18483.608,0.706762
18482.56,0.707135
18481.512,0.708470
18480.464,0.706215
18479.416,0.707098
18478.368,0.706818
18477.32,0.707536
18476.272,0.706522
18475.224,0.707179
18474.176,0.707786
18473.128,0.707207
18472.08,0.706966
18471.032,0.706430
18469.984,0.707723
18468.936,0.707090
18467.888,0.707964
18466.84,0.706743
18465.792,0.706955
18464.744,0.707368
18463.696,0.706581
18462.648,0.707832
18461.6,0.707416
18460.552,0.707354
18459.504,0.706898
18458.456,0.706995
18457.408,0.706510
18456.36,0.706789
18455.312,0.707171
18454.264,0.707118
18453.216,0.706583
18452.168,0.707551
18451.12,0.706745
18450.072,0.707289
18449.024,0.707188
18447.976,0.707290
18446.928,0.706115
18445.88,0.707013
18444.832,0.706184
18443.784,0.706271
18442.736,0.706257
18441.688,0.707102
18440.64,0.707961
18439.592,0.707101
18438.544,0.707425
18437.496,0.707128
18436.448,0.706471
18435.4,0.707882
18434.352,0.705759
18433.304,0.706900
18432.256,0.706983
18431.208,0.707395
18430.16,0.706710
18429.112,0.707601
18428.064,0.707780
18427.016,0.707818
18425.968,0.708116
18424.92,0.706879
18423.872,0.706511
18422.824,0.707008
18421.776,0.706076
18420.728,0.705681
18419.68,0.706950
18418.632,0.706094
18417.584,0.707276
18416.536,0.706020
18415.488,0.706479
18414.44,0.706711
18413.392,0.708131
18412.344,0.707173
18411.296,0.706510
18410.248,0.707139
18409.2,0.707249
18408.152,0.706991
18407.104,0.707114
18406.056,0.705397
18405.008,0.707581
18403.96,0.707299
18402.912,0.706498
18401.864,0.707025
18400.816,0.706679
18399.768,0.706579
18398.72,0.707578
18397.672,0.707261
18396.624,0.707534
18395.576,0.705781
18394.528,0.706888
18393.48,0.707529
18392.432,0.707245
18391.384,0.706596
18390.336,0.707099
18389.288,0.706996
18388.24,0.706844
18387.192,0.706960
18386.144,0.706055
18385.096,0.707577
18384.048,0.707141
18383,0.706004
18381.952,0.706837
18380.904,0.706497
18379.856,0.708204
18378.808,0.706478
18377.76,0.705885
18376.712,0.706837
18375.664,0.706044
18374.616,0.706552
18373.568,0.707666
18372.52,0.707805
18371.472,0.706227
18370.424,0.705567
18369.376,0.706828
18368.328,0.706753
18367.28,0.707015
18366.232,0.707438
18365.184,0.707312
18364.136,0.705807
18363.088,0.707259
18362.04,0.707000
18360.992,0.706367
18359.944,0.707506
18358.896,0.706392
18357.848,0.707212
18356.8,0.707166
18355.752,0.707480
18354.704,0.707260
18353.656,0.707144
18352.608,0.706388
18351.56,0.706296
18350.512,0.705299
18349.464,0.706693
18348.416,0.707369
18347.368,0.707715
18346.32,0.707627
18345.272,0.707276
18344.224,0.707645
18343.176,0.707108
18342.128,0.707357
18341.08,0.707216
18340.032,0.708182
18338.984,0.705536
18337.936,0.706834
18336.888,0.706822
18335.84,0.706715
18334.792,0.706621
18333.744,0.705957
18332.696,0.706813
18331.648,0.706535
18330.6,0.706737
18329.552,0.707505
18328.504,0.706960
18327.456,0.706568
18326.408,0.706302
18325.36,0.706203
18324.312,0.707051
18323.264,0.706808
18322.216,0.706599
18321.168,0.706914
18320.12,0.707116
18319.072,0.706801
18318.024,0.707607
18316.976,0.706860
18315.928,0.707738
18314.88,0.708522
18313.832,0.707858
18312.784,0.706539
18311.736,0.707266
18310.688,0.706044
18309.64,0.707227
18308.592,0.706755
18307.544,0.706347
18306.496,0.707688
18305.448,0.706412
18304.4,0.708087
18303.352,0.708142
18302.304,0.707848
18301.256,0.706642
